14000:14004,14005,14000,14001,14007,14003:0:102
10045:23,24,19,20,458,22:0:102
10140:2329,2330,2327,2328,2335:0:102
14003:14043,14045,14037,14040,14038,14046:0:102
10144:2165,2166,2167,2168,2171,2173:0:102
19005:30169,30170,30167,30168,30175,32637:0:102109
19012:30449,30450,30447,30448,30455,32611:0:102109
10800:4002,4003,4000,4001,4008,4007:0:102
19001:30049,30050,30047,30048,30055,32631:0:102109
10143:2505,2506,2503,2504,2511,2510:0:102
10135:2300,2301,2297,2299,2306:0:102
10092:1073,1076,1074,1075,1077,1072:0:102
10145:2486,2487,2493:0:102
10096:1094,1095,1098,1099,2159,1100:0:102
10050:59,60,55,56,455,58:0:102
10052:952,953,945,948,946,951:0:102
19010:30369,30370,30367,30368,30375,32573:0:102109
10093:1080,1081,1084,1085,1371:0:102
10089:1056,1057,1049,1052,1050,1055:0:102
10046:29,30,25,26,464,28:0:102
10141:2186,2187,2184,2185,2192,2191:0:102
19004:30129,30130,30127,30128,30135,32634:0:102109
19071:33192,33193,33190,33191,33198,33197:0:102109
10097:1101,1102,1105,1106,2280,1107:0:102
10049:77,78,73,74,456,76:0:102
10128:1588,1589,1586,1587,1593:0:102
19011:30409,30410,30407,30408,30415,32649:0:102109
10087:1037,1038,1033,1034,1039,1036:0:102
10124:1310,1311,1306,1307,1312,1309:0:102
19003:30000,30001,30004,30007,30005,30003:0:102109
10153:2229,2230,2227,2228,2967,2236,2235:0:102
10139:2132,2133,2130,2131,2274:0:102
10136:1791,1792,1789,1790,1796,1795:1:102
10203:2448,2449,2446,2447,2453,2452:1:102
10088:1047,1048,1043,1044,1042,1046:1:102
19015:30569,30570,30567,30568,30575:1:102109
19024:30929,30930,30927,30928,30935:1:102109
19018:30689,30690,30687,30688,30695,32658:1:102109
10118:1241,1242,1245,1246,1412,1247:1:102
10062:71,72,67,68,454,70:1:102
10202:2428,2429,2426,2427,2433,2432:1:102
19021:30809,30810,30807,30808,30815,32566:1:102109
19022:30849,30850,30847,30848,30855:1:102109
10102:1136,1137,1140,1141,2399,1142:1:102
10101:1129,1130,1133,1134,2345:1:102
10055:942,943,935,938,936,941:1:102
19025:30969,30970,30967,30968,30975:1:102109
10053:65,66,61,62,453,64:1:102
19014:30529,30530,30527,30528,30535,32589:1:102109
10056:891,892,884,887,885,890:1:102
10137:1944,1945,1942,1943,1952,1951:1:102
10201:2408,2409,2406,2407,2413:1:102
10132:2209,2210,2207,2208,2216,2215:1:102
10047:35,36,31,32,459,34:1:102
19023:30889,30890,30887,30888,30895,32606:1:102109
19020:30769,30770,30767,30768,30775,32596:1:102109
19019:30729,30730,30727,30728,30735,32562:1:102109
19016:30609,30610,30607,30608,30615,32652:1:102109
10162:3120,3121,3124,3125,3128,3126:1:102
19041:31609,31610,31607,31608,31615,33067:2:102109
10138:1771,1772,1769,1770,1776,1775:2:102
19037:31449,31450,31447,31448,31455:2:102109
19044:31729,31730,31727,31728,31735:2:102109
10109:1178,1179,1182,1183,2834,1184:2:102
10110:1185,1186,1189,1190,2397,1191:2:102
19042:31649,31650,31647,31648,31655:2:102109
10130:1753,1754,1751,1752,1758,1757:2:102
10204:2468,2469,2466,2467,2473:2:102
19032:31249,31250,31247,31248,31255,32664:2:102109
19033:31289,31290,31287,31288,31295,32667:2:102109
10112:1199,1200,1203,1204,1630,1205:2:102
19031:31209,31210,31207,31208,31215,32616:2:102109
19030:31169,31170,31167,31168,31175,32577:2:102109
19038:31489,31490,31487,31488,31495:2:102109
19026:31009,31010,31007,31008,31015,2501:2:102109
19035:31369,31370,31367,31368,31375,32670:2:102109
